iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
ARE,Asia,United Arab Emirates,2020-01-29,4.0,4.0,,,,,0.404,0.404,,,,,,,,,,,,,,75.0,75.0,0.008,0.008,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-01-30,4.0,0.0,,,,,0.404,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-01-31,4.0,0.0,,,,,0.404,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-01,4.0,0.0,,,,,0.404,0.0,,,,,,,,,,,,,,183.0,258.0,0.026,0.019,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-02,5.0,1.0,,,,,0.506,0.101,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-03,5.0,0.0,0.714,,,0.0,0.506,0.0,0.072,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-04,5.0,0.0,0.714,,,0.0,0.506,0.0,0.072,,,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-05,5.0,0.0,0.143,,,0.0,0.506,0.0,0.014,,,0.0,,,,,,,,,,,,,,73.0,0.007,0.002,510.5,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-06,5.0,0.0,0.143,,,0.0,0.506,0.0,0.014,,,0.0,,,,,,,,,,,,,,76.0,0.008,0.002,531.5,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
ARE,Asia,United Arab Emirates,2020-02-07,5.0,0.0,0.143,,,0.0,0.506,0.0,0.014,,,0.0,,,,,,,,,,,,,,79.0,0.008,0.002,552.4,tests performed,,,,,,,,,,2.78,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
