iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AUS,Oceania,Australia,2020-01-26,4.0,4.0,,,,,0.157,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,6.16
AUS,Oceania,Australia,2020-01-27,5.0,1.0,,,,,0.196,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-01-28,5.0,0.0,,,,,0.196,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-01-29,6.0,1.0,,,,,0.235,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-01-30,9.0,3.0,,,,,0.353,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-01-31,9.0,0.0,1.286,,,0.0,0.353,0.0,0.05,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-01,12.0,3.0,1.714,,,0.0,0.471,0.118,0.067,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-02,12.0,0.0,1.143,,,0.0,0.471,0.0,0.045,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,2.46
AUS,Oceania,Australia,2020-02-03,12.0,0.0,1.0,,,0.0,0.471,0.0,0.039,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-04,13.0,1.0,1.143,,,0.0,0.51,0.039,0.045,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-05,13.0,0.0,1.0,,,0.0,0.51,0.0,0.039,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-06,14.0,1.0,0.714,,,0.0,0.549,0.039,0.028,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-07,15.0,1.0,0.857,,,0.0,0.588,0.039,0.034,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-08,15.0,0.0,0.429,,,0.0,0.588,0.0,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-09,15.0,0.0,0.429,,,0.0,0.588,0.0,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,3.02
AUS,Oceania,Australia,2020-02-10,15.0,0.0,0.429,,,0.0,0.588,0.0,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-11,15.0,0.0,0.286,,,0.0,0.588,0.0,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-12,15.0,0.0,0.286,,,0.0,0.588,0.0,0.011,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-13,15.0,0.0,0.143,,,0.0,0.588,0.0,0.006,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-14,15.0,0.0,0.0,,,0.0,0.588,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-15,15.0,0.0,0.0,,,0.0,0.588,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
AUS,Oceania,Australia,2020-02-16,15.0,0.0,0.0,,,0.0,0.588,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,6.07
AUS,Oceania,Australia,2020-02-17,15.0,0.0,0.0,,,0.0,0.588,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,
