iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
DEU,Europe,Germany,2020-01-27,1.0,1.0,,,,,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-01-28,4.0,3.0,,,,,0.048,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-01-29,4.0,0.0,,,,,0.048,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-01-30,4.0,0.0,,,,,0.048,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-01-31,5.0,1.0,,,,,0.06,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-01,8.0,3.0,1.143,,,0.0,0.095,0.036,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-02,10.0,2.0,1.429,,,0.0,0.119,0.024,0.017,,,0.0,,,,,,,,98.727,1.178,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-03,12.0,2.0,1.571,,,0.0,0.143,0.024,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-04,12.0,0.0,1.143,,,0.0,0.143,0.0,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-05,12.0,0.0,1.143,,,0.0,0.143,0.0,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-06,12.0,0.0,1.143,,,0.0,0.143,0.0,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-07,13.0,1.0,1.143,,,0.0,0.155,0.012,0.014,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-08,13.0,0.0,0.714,,,0.0,0.155,0.0,0.009,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-09,14.0,1.0,0.571,,,0.0,0.167,0.012,0.007,,,0.0,,,,,,,,50.371,0.601,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-10,14.0,0.0,0.286,,,0.0,0.167,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-11,16.0,2.0,0.571,,,0.0,0.191,0.024,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-12,16.0,0.0,0.571,,,0.0,0.191,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-13,16.0,0.0,0.571,,,0.0,0.191,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-14,16.0,0.0,0.429,,,0.0,0.191,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-15,16.0,0.0,0.429,,,0.0,0.191,0.0,0.005,,,0.0,,,,,,,,73.542,0.878,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-16,16.0,0.0,0.286,,,0.0,0.191,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-17,16.0,0.0,0.286,,,0.0,0.191,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-18,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-19,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-20,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-21,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
DEU,Europe,Germany,2020-02-22,16.0,0.0,0.0,,,0.0,0.191,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83783945.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
