iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
FJI,Oceania,Fiji,2020-01-30,,,,,,,,,,,,,,,,,,,,,,,3.0,0.003,,,,,,tests performed,,,,,,,,,,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,11.11,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,5.0,0.006,,0.0,0.0,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-08,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,0.007,0.001,0.0,0.0,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FJI,Oceania,Fiji,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,tests performed,,,,,,,,,,19.44,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
