iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FRO,Europe,Faeroe Islands,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994.0,3993.0,1.0,,,8.17,8.17,0.0,,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4657.0,4051.0,606.0,,83.0,9.53,8.29,1.24,1699.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,1637.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783.0,4098.0,685.0,,77.0,9.79,8.39,1.4,1576.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,2169.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5355.0,4134.0,1221.0,,135.0,10.96,8.46,2.5,2763.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,,,,2619.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,,,2456.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,2292.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,2210.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,2108.0,27.78,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,1351.0,59.26,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,614.0,59.26,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,614.0,59.26,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,614.0,59.26,48865.0,35.308,,,,,,,,,,,,80.67,
FRO,Europe,Faeroe Islands,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,614.0,59.26,48865.0,35.308,,,,,,,,,,,,80.67,
