iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
LBN,Asia,Lebanon,2020-02-21,1.0,1.0,,,,,0.147,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-22,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-23,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-24,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-25,1.0,0.0,,,,,0.147,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-26,2.0,1.0,0.286,,,0.0,0.293,0.147,0.042,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-27,2.0,0.0,0.286,,,0.0,0.293,0.0,0.042,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-28,2.0,0.0,0.143,,,0.0,0.293,0.0,0.021,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-02-29,4.0,2.0,0.429,,,0.0,0.586,0.293,0.063,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-01,10.0,6.0,1.286,,,0.0,1.465,0.879,0.188,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-02,13.0,3.0,1.714,,,0.0,1.905,0.44,0.251,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-03,13.0,0.0,1.714,,,0.0,1.905,0.0,0.251,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-04,13.0,0.0,1.571,,,0.0,1.905,0.0,0.23,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-05,16.0,3.0,2.0,,,0.0,2.344,0.44,0.293,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-06,22.0,6.0,2.857,,,0.0,3.223,0.879,0.419,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-07,22.0,0.0,2.571,,,0.0,3.223,0.0,0.377,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-08,32.0,10.0,3.143,,,0.0,4.688,1.465,0.46,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-09,32.0,0.0,2.714,,,0.0,4.688,0.0,0.398,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-10,41.0,9.0,4.0,1.0,1.0,0.143,6.007,1.319,0.586,0.147,0.147,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-11,61.0,20.0,6.857,3.0,2.0,0.429,8.937,2.93,1.005,0.44,0.293,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-12,61.0,0.0,6.429,3.0,0.0,0.429,8.937,0.0,0.942,0.44,0.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-13,77.0,16.0,7.857,3.0,0.0,0.429,11.281,2.344,1.151,0.44,0.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-14,93.0,16.0,10.143,3.0,0.0,0.429,13.625,2.344,1.486,0.44,0.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-15,110.0,17.0,11.143,3.0,0.0,0.429,16.116,2.491,1.633,0.44,0.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-16,110.0,0.0,11.143,3.0,0.0,0.429,16.116,0.0,1.633,0.44,0.0,0.063,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-17,120.0,10.0,11.286,3.0,0.0,0.286,17.581,1.465,1.653,0.44,0.0,0.042,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-18,133.0,13.0,10.286,3.0,0.0,0.0,19.486,1.905,1.507,0.44,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-19,157.0,24.0,13.714,4.0,1.0,0.143,23.002,3.516,2.009,0.586,0.147,0.021,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-20,163.0,6.0,12.286,4.0,0.0,0.143,23.881,0.879,1.8,0.586,0.0,0.021,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-21,187.0,24.0,13.429,4.0,0.0,0.143,27.397,3.516,1.967,0.586,0.0,0.021,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-22,248.0,61.0,19.714,4.0,0.0,0.143,36.335,8.937,2.888,0.586,0.0,0.021,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LBN,Asia,Lebanon,2020-03-23,267.0,19.0,22.429,4.0,0.0,0.143,39.118,2.784,3.286,0.586,0.0,0.021,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
