iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
MNG,Asia,Mongolia,2020-03-10,1.0,1.0,,,,,0.305,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-11,1.0,0.0,,,,,0.305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-12,1.0,0.0,,,,,0.305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-13,1.0,0.0,,,,,0.305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-14,1.0,0.0,,,,,0.305,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-15,1.0,0.0,0.143,,,0.0,0.305,0.0,0.044,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-16,1.0,0.0,0.143,,,0.0,0.305,0.0,0.044,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-17,5.0,4.0,0.571,,,0.0,1.525,1.22,0.174,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-18,6.0,1.0,0.714,,,0.0,1.83,0.305,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-19,6.0,0.0,0.714,,,0.0,1.83,0.0,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-20,6.0,0.0,0.714,,,0.0,1.83,0.0,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-21,10.0,4.0,1.286,,,0.0,3.05,1.22,0.392,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-22,10.0,0.0,1.286,,,0.0,3.05,0.0,0.392,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.07,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-23,10.0,0.0,1.286,,,0.0,3.05,0.0,0.392,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-24,10.0,0.0,0.714,,,0.0,3.05,0.0,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-25,10.0,0.0,0.571,,,0.0,3.05,0.0,0.174,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-26,11.0,1.0,0.714,,,0.0,3.355,0.305,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-27,11.0,0.0,0.714,,,0.0,3.355,0.0,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
MNG,Asia,Mongolia,2020-03-28,12.0,1.0,0.286,,,0.0,3.66,0.305,0.087,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,3278292.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
