iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
MUS,Africa,Mauritius,2020-03-18,3.0,3.0,,,,,2.359,2.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-19,3.0,0.0,,,,,2.359,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-20,12.0,9.0,,,,,9.436,7.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-21,14.0,2.0,,1.0,1.0,,11.008,1.573,,0.786,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-22,28.0,14.0,,2.0,1.0,,22.017,11.008,,1.573,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-23,36.0,8.0,5.143,2.0,0.0,0.286,28.307,6.29,4.044,1.573,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-24,42.0,6.0,6.0,2.0,0.0,0.286,33.025,4.718,4.718,1.573,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-25,48.0,6.0,6.429,2.0,0.0,0.286,37.743,4.718,5.055,1.573,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-26,81.0,33.0,11.143,2.0,0.0,0.286,63.691,25.948,8.762,1.573,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MUS,Africa,Mauritius,2020-03-27,94.0,13.0,11.714,2.0,0.0,0.286,73.913,10.222,9.211,1.573,0.0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,1271767.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
