iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MYS,Asia,Malaysia,2020-01-24,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-25,3.0,3.0,,,,,0.093,0.093,,,,,,,,,,,,,,5.0,7.0,0.0,0.0,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-26,4.0,1.0,,,,,0.124,0.031,,,,,,,,,,,,,,14.0,21.0,0.001,0.0,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-27,4.0,0.0,,,,,0.124,0.0,,,,,,,,,,,,,,24.0,45.0,0.001,0.001,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-28,4.0,0.0,,,,,0.124,0.0,,,,,,,,,,,,,,53.0,98.0,0.003,0.002,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-29,7.0,3.0,,,,,0.216,0.093,,,,,,,,,,,,,,71.0,169.0,0.005,0.002,,,,,people tested,,,,,,,,,,11.11,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-30,8.0,1.0,1.143,,,0.0,0.247,0.031,0.035,,,0.0,,,,,,,,,,42.0,211.0,0.007,0.001,,,,,people tested,,,,,,,,,,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-01-31,8.0,0.0,1.143,,,0.0,0.247,0.0,0.035,,,0.0,,,,,,,,,,47.0,258.0,0.008,0.001,37.0,0.001,0.031,32.4,people tested,,,,,,,,,,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,7.29
MYS,Asia,Malaysia,2020-02-01,8.0,0.0,0.714,,,0.0,0.247,0.0,0.022,,,0.0,,,,,,,,,,28.0,286.0,0.009,0.001,40.0,0.001,0.018,56.0,people tested,,,,,,,,,,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
MYS,Asia,Malaysia,2020-02-02,8.0,0.0,0.571,,,0.0,0.247,0.0,0.018,,,0.0,,,,,,,,,,66.0,352.0,0.011,0.002,47.0,0.001,0.012,82.3,people tested,,,,,,,,,,19.44,32365998.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,
