iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
NIC,North America,Nicaragua,2020-03-19,1.0,1.0,,,,,0.151,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-20,1.0,0.0,,,,,0.151,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-21,2.0,1.0,,,,,0.302,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-22,2.0,0.0,,,,,0.302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-23,2.0,0.0,,,,,0.302,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-24,2.0,0.0,0.286,,,0.0,0.302,0.0,0.043,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-25,2.0,0.0,0.286,,,0.0,0.302,0.0,0.043,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-26,2.0,0.0,0.143,,,0.0,0.302,0.0,0.022,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-27,2.0,0.0,0.143,1.0,1.0,0.143,0.302,0.0,0.022,0.151,0.151,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
NIC,North America,Nicaragua,2020-03-28,4.0,2.0,0.286,1.0,0.0,0.143,0.604,0.302,0.043,0.151,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,6624554.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,
