iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OMN,Asia,Oman,2020-02-24,2.0,2.0,,,,,0.392,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-02-25,2.0,0.0,,,,,0.392,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-02-26,4.0,2.0,,,,,0.783,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-02-27,4.0,0.0,,,,,0.783,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-02-28,4.0,0.0,,,,,0.783,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-02-29,6.0,2.0,0.857,,,0.0,1.175,0.392,0.168,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-03-01,6.0,0.0,0.857,,,0.0,1.175,0.0,0.168,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-03-02,6.0,0.0,0.571,,,0.0,1.175,0.0,0.112,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-03-03,12.0,6.0,1.429,,,0.0,2.35,1.175,0.28,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
OMN,Asia,Oman,2020-03-04,15.0,3.0,1.571,,,0.0,2.937,0.587,0.308,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
